stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Leon\source\repos\JogoEmAllegro\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.01335] added dtor for sub_bitmap 0000013FD1CCD2E0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01351] added dtor for sub_bitmap 0000013FD1CCDB10, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01361] added dtor for sub_bitmap 0000013FD1CCF060, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01368] added dtor for sub_bitmap 0000013FD1CCF250, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01374] added dtor for sub_bitmap 0000013FD1CCDEF0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01381] added dtor for sub_bitmap 0000013FD1CCEE70, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01386] added dtor for sub_bitmap 0000013FD1CCD920, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01392] added dtor for sub_bitmap 0000013FD1CCE0E0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01398] added dtor for sub_bitmap 0000013FD1CCEC80, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01404] added dtor for sub_bitmap 0000013FD1CCE6B0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01410] added dtor for sub_bitmap 0000013FD1CCF440, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01416] added dtor for sub_bitmap 0000013FD1CCDD00, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01423] added dtor for sub_bitmap 0000013FD1CCE2D0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01430] added dtor for sub_bitmap 0000013FD1CCF630, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01437] added dtor for sub_bitmap 0000013FD1CCE8A0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01444] added dtor for sub_bitmap 0000013FD1CCE4C0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01451] added dtor for sub_bitmap 0000013FD1CCEA90, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01459] added dtor for sub_bitmap 0000013FD1CD2110, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01466] added dtor for sub_bitmap 0000013FD1CD24F0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01472] added dtor for sub_bitmap 0000013FD1CD3660, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01478] added dtor for sub_bitmap 0000013FD1CD3280, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01484] added dtor for sub_bitmap 0000013FD1CD1950, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01490] added dtor for sub_bitmap 0000013FD1CD2AC0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01503] added dtor for sub_bitmap 0000013FD1CD2300, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01512] added dtor for sub_bitmap 0000013FD1CD2EA0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01520] added dtor for sub_bitmap 0000013FD1CD1F20, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01527] added dtor for sub_bitmap 0000013FD1CD26E0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01536] added dtor for sub_bitmap 0000013FD1CD2CB0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01545] added dtor for sub_bitmap 0000013FD1CD3090, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01554] added dtor for sub_bitmap 0000013FD1CD3470, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01561] added dtor for sub_bitmap 0000013FD1CD1B40, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01569] added dtor for sub_bitmap 0000013FD1CD28D0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01576] added dtor for sub_bitmap 0000013FD1CD1D30, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01584] added dtor for sub_bitmap 0000013FD1CD3D40, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01590] added dtor for sub_bitmap 0000013FD1CD3F30, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01597] added dtor for sub_bitmap 0000013FD1CD4310, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01603] added dtor for sub_bitmap 0000013FD1CD5670, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01610] added dtor for sub_bitmap 0000013FD1CD4120, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01616] added dtor for sub_bitmap 0000013FD1CD3960, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01623] added dtor for sub_bitmap 0000013FD1CD3B50, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01629] added dtor for sub_bitmap 0000013FD1CD50A0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01636] added dtor for sub_bitmap 0000013FD1CD4CC0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01643] added dtor for sub_bitmap 0000013FD1CD4500, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01650] added dtor for sub_bitmap 0000013FD1CD46F0, func 00007FFC8696118B
